  ;FILE_NAME           ;SECTION                   ;PARAMETER_NAME                               ;DEFAULT_VALUE      ;CONFIGURED_VALUE      ;RECOMMENDED_VALUE      ;SAP_NOTES       ;CONFIGURED_HOST;IMPLEMENTATION_COMMAND                                                                                                                                    ;UNDO_COMMAND                                                                                                                                                      
1 ;Evaluation time:    ;2017/11/20 16:02:17       ;                                             ;                   ;                      ;                       ;                ;               ;                                                                                                                                                          ;                                                                                                                                                                  
2 ;Statement version:  ;2.8.13 (2017/10/27)       ;                                             ;                   ;                      ;                       ;                ;               ;                                                                                                                                                          ;                                                                                                                                                                  
3 ;Revision:           ;1.00.122.12               ;                                             ;                   ;                      ;                       ;                ;               ;                                                                                                                                                          ;                                                                                                                                                                  
4 ;Environment:        ;ABAP,BW,ESS,MULTI,PROD,SDA;                                             ;                   ;                      ;                       ;                ;               ;                                                                                                                                                          ;                                                                                                                                                                  
5 ;CPU threads:        ;240                       ;                                             ;                   ;                      ;                       ;                ;               ;                                                                                                                                                          ;                                                                                                                                                                  
6 ;CPU frequency (MHz):;2501                      ;                                             ;                   ;                      ;                       ;                ;               ;                                                                                                                                                          ;                                                                                                                                                                  
7 ;NUMA nodes:         ;8                         ;                                             ;                   ;                      ;                       ;                ;               ;                                                                                                                                                          ;                                                                                                                                                                  
8 ;GAL (GB):           ;1954                      ;                                             ;                   ;                      ;                       ;                ;               ;                                                                                                                                                          ;                                                                                                                                                                  
9 ;Slave nodes:        ;16                        ;                                             ;                   ;                      ;                       ;                ;               ;                                                                                                                                                          ;                                                                                                                                                                  
22;global.ini          ;persistence               ;log_segment_size_mb                          ;1024               ;2048                  ;-- no recommendation --;2083715         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('global.ini' , 'SYSTEM') UNSET ('persistence', 'log_segment_size_mb') WITH RECONFIGURE;                                 ;ALTER SYSTEM ALTER CONFIGURATION ('global.ini' , 'SYSTEM') SET ('persistence', 'log_segment_size_mb') = '2048' WITH RECONFIGURE;                                  
23;global.ini          ;resource_tracking         ;load_monitor_max_samples                     ;100000             ;200000                ;-- no recommendation --;2222110         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('global.ini' , 'SYSTEM') UNSET ('resource_tracking', 'load_monitor_max_samples') WITH RECONFIGURE;                      ;ALTER SYSTEM ALTER CONFIGURATION ('global.ini' , 'SYSTEM') SET ('resource_tracking', 'load_monitor_max_samples') = '200000' WITH RECONFIGURE;                     
24;global.ini          ;table_placement           ;method                                       ;-- HANA internal --;2                     ;-- no recommendation --;1908075, 2334091;               ;ALTER SYSTEM ALTER CONFIGURATION ('global.ini' , 'SYSTEM') UNSET ('table_placement', 'method') WITH RECONFIGURE;                                          ;ALTER SYSTEM ALTER CONFIGURATION ('global.ini' , 'SYSTEM') SET ('table_placement', 'method') = '2' WITH RECONFIGURE;                                              
25;indexserver.ini     ;communication             ;handles                                      ;-- HANA internal --;40000                 ;-- no recommendation --;2382421         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') UNSET ('communication', 'handles') WITH RECONFIGURE;                                      ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') SET ('communication', 'handles') = '40000' WITH RECONFIGURE;                                      
26;indexserver.ini     ;communication             ;signal_recv_timeout                          ;-- HANA internal --;60000                 ;-- no recommendation --;2427296         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') UNSET ('communication', 'signal_recv_timeout') WITH RECONFIGURE;                          ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') SET ('communication', 'signal_recv_timeout') = '60000' WITH RECONFIGURE;                          
27;indexserver.ini     ;communication             ;signal_send_timeout                          ;-- HANA internal --;60000                 ;-- no recommendation --;2427296         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') UNSET ('communication', 'signal_send_timeout') WITH RECONFIGURE;                          ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') SET ('communication', 'signal_send_timeout') = '60000' WITH RECONFIGURE;                          
28;indexserver.ini     ;import_export             ;enable_csv_import_path_filter                ;true               ;false                 ;-- no recommendation --;2109565         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') UNSET ('import_export', 'enable_csv_import_path_filter') WITH RECONFIGURE;                ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') SET ('import_export', 'enable_csv_import_path_filter') = 'false' WITH RECONFIGURE;                
29;indexserver.ini     ;joins                     ;translator_cache_size                        ;2000               ;5000                  ;-- no recommendation --;1998599         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') UNSET ('joins', 'translator_cache_size') WITH RECONFIGURE;                                ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') SET ('joins', 'translator_cache_size') = '5000' WITH RECONFIGURE;                                 
30;indexserver.ini     ;persistence               ;runtimedump_for_blocked_savepoint_timeout    ;-- HANA internal --;1800                  ;-- no recommendation --;                ;               ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') UNSET ('persistence', 'runtimedump_for_blocked_savepoint_timeout') WITH RECONFIGURE;      ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') SET ('persistence', 'runtimedump_for_blocked_savepoint_timeout') = '1800' WITH RECONFIGURE;       
31;indexserver.ini     ;row_engine                ;dynamic_parallel_insert_max_workers          ;-- HANA internal --;1                     ;-- no recommendation --;1999997         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') UNSET ('row_engine', 'dynamic_parallel_insert_max_workers') WITH RECONFIGURE;             ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') SET ('row_engine', 'dynamic_parallel_insert_max_workers') = '1' WITH RECONFIGURE;                 
32;indexserver.ini     ;row_engine                ;page_compaction_enable                       ;-- HANA internal --;true                  ;-- no recommendation --;1813245         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') UNSET ('row_engine', 'page_compaction_enable') WITH RECONFIGURE;                          ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') SET ('row_engine', 'page_compaction_enable') = 'true' WITH RECONFIGURE;                           
33;indexserver.ini     ;row_engine                ;page_compaction_max_pages                    ;-- HANA internal --;1048576               ;-- no recommendation --;1813245         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') UNSET ('row_engine', 'page_compaction_max_pages') WITH RECONFIGURE;                       ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') SET ('row_engine', 'page_compaction_max_pages') = '1048576' WITH RECONFIGURE;                     
34;indexserver.ini     ;search                    ;late_materialization_threshold               ;20000              ;30000000              ;-- no recommendation --;1975448         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') UNSET ('search', 'late_materialization_threshold') WITH RECONFIGURE;                      ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') SET ('search', 'late_materialization_threshold') = '30000000' WITH RECONFIGURE;                   
35;indexserver.ini     ;session                   ;idle_connection_timeout                      ;1440               ;4320                  ;-- no recommendation --;2035443         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') UNSET ('session', 'idle_connection_timeout') WITH RECONFIGURE;                            ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') SET ('session', 'idle_connection_timeout') = '4320' WITH RECONFIGURE;                             
36;indexserver.ini     ;sqlscript                 ;enable_select_into_scalar_udf                ;-- HANA internal --;true                  ;-- no recommendation --;2160814         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') UNSET ('sqlscript', 'enable_select_into_scalar_udf') WITH RECONFIGURE;                    ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') SET ('sqlscript', 'enable_select_into_scalar_udf') = 'true' WITH RECONFIGURE;                     
37;indexserver.ini     ;sqltrace                  ;object                                       ;                   ;sapbi2./bic/azsl_d0100;-- no recommendation --;2119087         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') UNSET ('sqltrace', 'object') WITH RECONFIGURE;                                            ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') SET ('sqltrace', 'object') = 'sapbi2./bic/azsl_d0100' WITH RECONFIGURE;                           
38;indexserver.ini     ;table_redist              ;enable_merge                                 ;-- HANA internal --;false                 ;-- no recommendation --;1958216         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') UNSET ('table_redist', 'enable_merge') WITH RECONFIGURE;                                  ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') SET ('table_redist', 'enable_merge') = 'false' WITH RECONFIGURE;                                  
39;indexserver.ini     ;trace                     ;landscapereorg                               ;-- HANA internal --;info                  ;-- no recommendation --;2119087         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') UNSET ('trace', 'landscapereorg') WITH RECONFIGURE;                                       ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') SET ('trace', 'landscapereorg') = 'info' WITH RECONFIGURE;                                        
40;indexserver.ini     ;trace                     ;maxfiles                                     ;-- HANA internal --;100                   ;-- no recommendation --;2119087         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') UNSET ('trace', 'maxfiles') WITH RECONFIGURE;                                             ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') SET ('trace', 'maxfiles') = '100' WITH RECONFIGURE;                                               
41;indexserver.ini     ;transaction               ;check_global_trans_consistency               ;-- HANA internal --;true                  ;-- no recommendation --;2129651         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') UNSET ('transaction', 'check_global_trans_consistency') WITH RECONFIGURE;                 ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') SET ('transaction', 'check_global_trans_consistency') = 'true' WITH RECONFIGURE;                  
42;indexserver.ini     ;transaction               ;check_slave_on_master_restart                ;-- HANA internal --;true                  ;-- no recommendation --;2129651         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') UNSET ('transaction', 'check_slave_on_master_restart') WITH RECONFIGURE;                  ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') SET ('transaction', 'check_slave_on_master_restart') = 'true' WITH RECONFIGURE;                   
43;indexserver.ini     ;transaction               ;global_deadlock_check_timeout_on_lock_waiting;-- HANA internal --;1800000               ;-- no recommendation --;                ;               ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') UNSET ('transaction', 'global_deadlock_check_timeout_on_lock_waiting') WITH RECONFIGURE;  ;ALTER SYSTEM ALTER CONFIGURATION ('indexserver.ini' , 'SYSTEM') SET ('transaction', 'global_deadlock_check_timeout_on_lock_waiting') = '1800000' WITH RECONFIGURE;
44;statisticsserver.ini;memorymanager             ;allocationlimit                              ;5%                 ;15%                   ;-- no recommendation --;1929538         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('statisticsserver.ini' , 'SYSTEM') UNSET ('memorymanager', 'allocationlimit') WITH RECONFIGURE;                         ;ALTER SYSTEM ALTER CONFIGURATION ('statisticsserver.ini' , 'SYSTEM') SET ('memorymanager', 'allocationlimit') = '15%' WITH RECONFIGURE;                           
45;statisticsserver.ini;transaction               ;check_global_trans_consistency               ;-- HANA internal --;true                  ;-- no recommendation --;2129651         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('statisticsserver.ini' , 'SYSTEM') UNSET ('transaction', 'check_global_trans_consistency') WITH RECONFIGURE;            ;ALTER SYSTEM ALTER CONFIGURATION ('statisticsserver.ini' , 'SYSTEM') SET ('transaction', 'check_global_trans_consistency') = 'true' WITH RECONFIGURE;             
46;statisticsserver.ini;transaction               ;check_slave_on_master_restart                ;-- HANA internal --;true                  ;-- no recommendation --;2129651         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('statisticsserver.ini' , 'SYSTEM') UNSET ('transaction', 'check_slave_on_master_restart') WITH RECONFIGURE;             ;ALTER SYSTEM ALTER CONFIGURATION ('statisticsserver.ini' , 'SYSTEM') SET ('transaction', 'check_slave_on_master_restart') = 'true' WITH RECONFIGURE;              
47;xsengine.ini        ;communication             ;maxchannels                                  ;4000               ;15000                 ;-- no recommendation --;2382421         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('xsengine.ini' , 'SYSTEM') UNSET ('communication', 'maxchannels') WITH RECONFIGURE;                                     ;ALTER SYSTEM ALTER CONFIGURATION ('xsengine.ini' , 'SYSTEM') SET ('communication', 'maxchannels') = '15000' WITH RECONFIGURE;                                     
48;xsengine.ini        ;jsvm                      ;max_runtime_bytes                            ;-- HANA internal --;268435456             ;-- no recommendation --;2159899         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('xsengine.ini' , 'SYSTEM') UNSET ('jsvm', 'max_runtime_bytes') WITH RECONFIGURE;                                        ;ALTER SYSTEM ALTER CONFIGURATION ('xsengine.ini' , 'SYSTEM') SET ('jsvm', 'max_runtime_bytes') = '268435456' WITH RECONFIGURE;                                    
49;xsengine.ini        ;sql                       ;plan_cache_size                              ;2147483648         ;4294967296            ;-- no recommendation --;2124112         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('xsengine.ini' , 'SYSTEM') UNSET ('sql', 'plan_cache_size') WITH RECONFIGURE;                                           ;ALTER SYSTEM ALTER CONFIGURATION ('xsengine.ini' , 'SYSTEM') SET ('sql', 'plan_cache_size') = '4294967296' WITH RECONFIGURE;                                      
50;xsengine.ini        ;trace                     ;xsa:sap.hdm                                  ;-- HANA internal --;error                 ;-- no recommendation --;2119087         ;               ;ALTER SYSTEM ALTER CONFIGURATION ('xsengine.ini' , 'SYSTEM') UNSET ('trace', 'xsa:sap.hdm') WITH RECONFIGURE;                                             ;ALTER SYSTEM ALTER CONFIGURATION ('xsengine.ini' , 'SYSTEM') SET ('trace', 'xsa:sap.hdm') = 'error' WITH RECONFIGURE;                                             
